DDCTransactionId2A89C247412736FD9E04418CDE0A798F_46, CachedDataProbablyExists, Parent=DDCTransactionId2A89C247412736FD9E04418CDE0A798F_45, StartTime=2015.12.07-16.33.42, FileDDCPath=C:/Users/Chris/AppData/Local/UnrealEngine/Common/DerivedDataCache, Duration=0.144217ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_47, GetCachedData, Parent=DDCTransactionId2A89C247412736FD9E04418CDE0A798F_45, StartTime=2015.12.07-16.33.42, FileDDCPath=C:/Users/Chris/AppData/Local/UnrealEngine/Common/DerivedDataCache, Retrieved=true, Duration=0.408374ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_48, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufF7646F94__B0AC292A11D430F8864104AD7C93C08089AC2CCF, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=651563 bytes, Retrieved=true, Duration=2.114117ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_49, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE7AF1927__4C617B9C44FDAA9566A65195CE7AF1E90D521446, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=37561 bytes, Retrieved=true, Duration=0.635646ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_50, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufEB6949D1__4F269D219BF0CFCA8DC1AEEE06A1CD64F4E38116, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=2385141 bytes, Retrieved=true, Duration=8.180034ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_51, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf0050C5B1__FEA74C048D61EF1033062341CD2E4A36B630DDFC, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=624061 bytes, Retrieved=true, Duration=14.856704ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_52, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf0C797E18__F82403ED6E94994A4435D575B4873C09479AFA8A, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=2435363 bytes, Retrieved=true, Duration=9.791632ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_53, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD13C5DDB__1DE29769CE67C5591DF4F35975F42952B1D1EE52, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=2400167 bytes, Retrieved=true, Duration=17.793562ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_54, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf2DF00985__D7103312030DD208C03A02A584A52BC78D63EBA9, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=620193 bytes, Retrieved=true, Duration=2.093431ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_55, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf06C18A7F__1BD607E7DC9ECEFB4D53A07C3F399426300E09AD, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=155412 bytes, Retrieved=true, Duration=5.608369ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
