DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_45, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_6D__464B476120AE22BDD787DC13E746A5F534FB971A, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=4601 bytes, Retrieved=true, Duration=0.040777ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_46, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C33D81C24393A1288FAD6F85644FF32__08679E0F0EDF248D8827E1C740FF1E3AC5C9685A, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=2638 bytes, Retrieved=true, Duration=0.041977ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_47, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C33D81C24393A1288__0949F2DB7DD2A51B20D1C7A644D27F8090FD7508, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.039279ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_48, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBuf73E35E__4AFCD449DA1924F9B16A92FEB0557698F1304937, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=46585 bytes, Retrieved=true, Duration=0.056367ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_49, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBuf73E35E__C9661B5C5B694E3FEDD524BECEB857131BE98C76, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=46342 bytes, Retrieved=true, Duration=0.085451ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_50, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufDC721E__2F7F1B9F3583F900DABD38F8A694C253FAB2E4C8, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=104832 bytes, Retrieved=true, Duration=0.095349ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_51, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufDC721E__17D521C7D56112C50B773EFA38319814CC60CDE8, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=104472 bytes, Retrieved=true, Duration=0.080954ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_52, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufEE9326__B274621BB72B48A4E351B5C20D5EA57428C4B693, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=364698 bytes, Retrieved=true, Duration=0.261456ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_53, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufEE9326__678A6B29D894558E1A859A612961F38A25B49D11, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=260562 bytes, Retrieved=true, Duration=0.227574ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_54, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufD10B7D__B9BFF2F7BF5FB34E7DF196480A5BFEC5473FDBBA, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=89143 bytes, Retrieved=true, Duration=0.066563ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_55, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufD10B7D__60623B6DEF9CFD6BC41091EE83C9D5842291CC8E, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=88747 bytes, Retrieved=true, Duration=0.092648ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_56, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_GLSL_430_3899__BC5N_DEV_SL_NoDBuf_TAtmosp__3F9BC05676ADACE85517F9868B9A8814FC3569CF, StartTime=2016.03.04-12.08.39, HierarchicalDDC, DataSize=4908131 bytes, Retrieved=true, Duration=13.929047ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_57, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_GLSL_150_3867__BC5N_DEV_SL_NoDBuf_TAtmosp__6EEC3FAF2BAF94DBC24A2DAF19AFEFAC0D222539, StartTime=2016.03.04-12.08.40, HierarchicalDDC, DataSize=4044687 bytes, Retrieved=true, Duration=10.786798ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
../../../Engine/Content/MobileResources/HUD/VirtualJoystick_Thumb.uasset, AllOfLoadPackage_Duration=0.999939ms, AllOfLoadPackage_HitCount=3, ResolveRedirectors_Duration=1765.543655ms, ResolveRedirectors_HitCount=3, CacheForCookedPlatformData_Duration=0.677023ms, CacheForCookedPlatformData_HitCount=1, UnsolicitedMarkup_Duration=7.996853ms, UnsolicitedMarkup_HitCount=1, SavePackageCacheForCookedPlatformData_Duration=18.862497ms, SavePackageCacheForCookedPlatformData_HitCount=171, SaveCookedPackage_Duration=1767.080285ms, SaveCookedPackage_HitCount=170, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_58, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_21__27332BED7EEB4BCFC645A8495DBDD296BC92845C, StartTime=2016.03.04-12.08.41, HierarchicalDDC, DataSize=36762 bytes, Retrieved=true, Duration=0.371791ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
